name,abbrev,admitted,population 2020,sq miles,sq km,reps
Alabama,AL,12/14/1819,5024279,52420,135767,7
Alaska,AK,1/3/1959,733391,665384,1723337,1
Arizona,AZ,2/14/1912,7151502,113990,295234,9
Arkansas,AR,6/15/1836,3011524,53179,137732,4
California,CA,9/9/1850,39538223,163695,423967,52
Colorado,CO,8/1/1876,5773714,104094,269601,8
Connecticut,CT,1/9/1788,3605944,5543,14357,5
Delaware,DE,12/7/1787,989948,2489,6446,1
Florida,FL,3/3/1845,21538187,65758,170312,28
Georgia,GA,1/2/1788,10711908,59425,153910,14
Hawaii,HI,8/21/1959,1455271,10932,28313,2
Idaho,ID,7/3/1890,1839106,83569,216443,2
Illinois,IL,12/3/1818,12812508,57914,149995,17
Indiana,IN,12/11/1816,6785528,36420,94326,9
Iowa,IA,12/28/1846,3190369,56273,145746,4
Kansas,KS,1/29/1861,2937880,82278,213100,4
Kentucky,KY,6/1/1792,4505836,40408,104656,6
Louisiana,LA,4/30/1812,4657757,52378,135659,6
Maine,ME,3/15/1820,1362359,35380,91633,2
Maryland,MD,4/28/1788,6177224,12406,32131,8
Massachusetts,MA,2/6/1788,7029917,10554,27336,9
Michigan,MI,1/26/1837,10077331,96714,250487,13
Minnesota,MN,5/11/1858,5706494,86936,225163,8
Mississippi,MS,12/10/1817,2961279,48432,125438,4
Missouri,MO,8/10/1821,6154913,69707,180540,8
Montana,MT,11/8/1889,1084225,147040,380831,2
Nebraska,NE,3/1/1867,1961504,77348,200330,3
Nevada,NV,10/31/1864,3104614,110572,286380,4
New Hampshire,NH,6/21/1788,1377529,9349,24214,2
New Jersey,NJ,12/18/1787,9288994,8723,22591,12
New Mexico,NM,1/6/1912,2117522,121590,314917,3
New York,NY,7/26/1788,20201249,54555,141297,26
North Carolina,NC,11/21/1789,10439388,53819,139391,14
North Dakota,ND,11/2/1889,779094,70698,183108,1
Ohio,OH,3/1/1803,11799448,44826,116098,15
Oklahoma,OK,11/16/1907,3959353,69899,181037,5
Oregon,OR,2/14/1859,4237256,98379,254799,6
Pennsylvania,PA,12/12/1787,13002700,46054,119280,17
Rhode Island,RI,5/29/1790,1097379,1545,4001,2
South Carolina,SC,5/23/1788,5118425,32020,82933,7
South Dakota,SD,11/2/1889,886667,77116,199729,1
Tennessee,TN,6/1/1796,6910840,42144,109153,9
Texas,TX,12/29/1845,29145505,268596,695662,38
Utah,UT,1/4/1896,3271616,84897,219882,4
Vermont,VT,3/4/1791,643077,9616,24906,1
Virginia,VA,6/25/1788,8631393,42775,110787,11
Washington,WA,11/11/1889,7705281,71298,184661,10
West Virginia,WV,6/20/1863,1793716,24230,62756,2
Wisconsin,WI,5/29/1848,5893718,65496,169635,8
Wyoming,WY,7/10/1890,576851,97813,253335,1
